"Translation.Start","Translation.Stop","Transcription.Start","Transcription.Stop","Synonym","Product","Dawn0-1","Dawn0-2","Dawn0-3","Dawn0","Dusk0-1","Dusk0-2","Dusk0-3","Dusk0","MidDark1-1","MidDark1-2","MidDark1-3","MidDark1","Dawn1-1","Dawn1-2","Dawn1-3","Dawn1","MidLight1-1","MidLight1-2","MidLight1-3","MidLight1","Dusk1-1","Dusk1-2","Dusk1-3","Dusk1","MidDark2-1","MidDark2-2","MidDark2-3","MidDark2","Dawn2-1","Dawn2-2","Dawn2-3","Dawn2","MidLight2-1","MidLight2-2","MidLight2-3","MidLight2","Dusk2-1","Dusk2-2","Dusk2-3","Dusk2","Dark24-1","Dark24-2","Dark24-3","Dark24","Light24-1","Light24-2","Light24-3","Light24"
35672,36835,35547,36973,"Npun_F0022","response regulator receiver sensor signal transduction histidine kinase",119836,98456,146262,104,52047,69565,82362,58,186654,87975,100028,107,88693,85920,88262,75,48450,49038,47971,41,76069,83658,105320,75,75264,80925,90543,70,75607,87207,99073,74,34404,39656,43439,33,54819,55493,77690,53,99826,91708,106011,85,41228,45424,53534,40
37707,37054,37886,36999,"Npun_R0023","tRNA (guanine-N(7)-)-methyltransferase",42492,34160,52825,65,22007,16986,22671,31,40275,29387,35566,53,36763,36327,41563,58,14499,15868,17919,24,22833,26020,26560,38,23196,28121,30612,41,31868,34550,36535,52,10481,13749,22181,23,17998,18908,20521,29,30125,31787,37328,50,15651,13527,15748,22
38120,39568,NA,NA,"Npun_F0024","pentapeptide repeat-containing protein",6462,5343,4473,3,7081,7582,4545,4,6147,2583,4123,2,4356,3884,3350,2,2953,2445,3949,2,4427,3963,3547,2,3002,3579,3790,2,4177,3612,4117,2,1481,3234,1773,1,3910,3672,5257,2,4965,5357,5043,3,2698,2556,4639,2
39862,42477,39855,NA,"Npun_F0025","DNA gyrase subunit A",1073718,1677874,1305503,516,1095482,1169545,1253785,448,1358202,1467345,1623722,566,1824236,1722042,2148521,725,1098214,1200344,1261757,453,1260398,1107773,1212804,456,1470412,1372453,1549403,559,1579991,1584192,1725671,623,1414573,1423667,1829364,594,1216575,1267180,1315275,484,2289055,2373151,1962610,844,1089450,1338242,1484918,498
42449,44047,NA,44047,"Npun_F0026","apolipoprotein N-acyltransferase",187975,120771,83284,81,172061,151847,135577,95,134172,152360,151487,91,148277,136597,137751,88,201684,218574,192048,127,183987,189251,175932,114,120096,123169,108248,73,117870,106396,100561,67,163316,140440,90579,82,165331,156158,139389,96,76369,96041,116146,60,111440,58828,69899,50
44126,44461,44069,44488,"Npun_F0027","hypothetical protein",38234,36883,15155,89,20180,11784,17614,49,28719,29037,25923,83,22783,23009,30010,75,18267,18802,20806,57,21903,21586,19893,62,32865,28149,29991,90,35083,30654,31823,96,15907,19216,10539,45,19232,21234,19289,59,36736,27735,34535,98,13493,16387,16184,45
NA,NA,44955,45195,"predicted RNA","-",368527,376241,162536,1254,204322,87777,88845,526,426030,907880,861822,3036,736613,628298,942612,3191,311155,313577,271395,1239,597457,588948,652591,2543,747479,508196,481991,2403,500155,443309,351604,1791,405129,245579,328697,1354,370535,253344,210550,1154,141084,176793,295392,848,209208,65197,78903,488
46422,45418,46442,45405,"Npun_R0029","transaldolase",1836110,1657697,1020041,1497,1369983,1319316,1342789,1337,1407556,1293898,1394398,1358,1584273,1431347,1483543,1492,1460124,1469373,1421524,1443,1769461,1602875,1514637,1620,1750941,1925952,1788541,1812,1786807,1504662,1672064,1646,1497509,1460573,1733104,1555,1549658,1820963,1575945,1640,1408362,1343914,997405,1243,1215190,1241315,1282236,1240
NA,NA,46443,46551,"predicted RNA","-",343353,217894,107680,2045,151407,195932,219363,1733,217101,235909,229483,2087,92629,161704,60666,963,150080,147629,109060,1243,135855,138808,113882,1188,115995,137366,100218,1081,142754,140884,116755,1224,131632,73283,65489,826,119029,118562,129529,1122,60600,88895,80284,702,83948,83868,80673,759
48087,46657,48380,46552,"Npun_R0030","pyruvate kinase",85553,74648,49087,48,230585,211600,276482,167,112773,102204,107685,75,69923,59878,73814,47,240991,184920,160917,136,244437,243881,255610,173,103804,129937,115480,81,57678,61375,50312,39,198568,179330,370171,174,177879,250696,256750,159,53452,56373,60148,39,121671,134160,144877,93
49424,48381,49438,48381,"Npun_R0031","glyceraldehyde-3-phosphate dehydrogenase",268984,207073,148263,199,1443247,862381,977986,1048,246925,420966,388602,337,233606,195775,180940,194,1210665,1097925,930124,1034,1314804,1382666,1398894,1307,238142,280441,222260,236,120593,126102,80862,104,972517,774475,1903623,1165,1060724,1247914,1022949,1063,177460,203582,222990,192,465633,293135,373337,361
50712,49663,50712,NA,"Npun_R0032","hypothetical protein",19957,15439,1559,11,16033,14975,15270,14,21565,16132,17263,17,19518,20975,24185,20,19214,15636,13726,15,13752,16277,16974,14,15118,14830,17534,15,13596,17768,15907,15,13891,15033,8997,12,16460,18329,16239,16,15365,14946,22757,16,12562,11209,11181,11
52661,51075,52696,51012,"Npun_R0033","radical SAM domain-containing protein",95987,71918,61183,48,102527,86826,127545,66,81295,75500,80890,49,97940,88778,91842,58,205974,177618,179387,118,85365,91505,103363,58,74823,73550,75668,47,92384,88346,95371,57,128702,148025,217562,103,82033,93879,87162,55,92507,106611,110647,65,80415,68757,78776,47
54471,53308,54482,53281,"Npun_R0034","DNA polymerase III subunit beta",44034,45918,61212,43,50865,72558,63940,53,49616,39896,41609,37,40539,39441,41965,34,38258,41798,40939,34,46246,48904,53310,42,37793,44916,50656,38,41543,45081,49207,38,31030,36818,16184,24,46312,49142,52791,42,33407,41759,33480,31,32350,41031,48719,34
54833,54561,NA,NA,"Npun_R0035","hypothetical protein",11355,7678,22101,50,10703,8015,6394,30,9499,9845,5741,30,8705,8473,10345,33,10395,10506,11743,39,8569,9433,9488,33,7929,7778,8132,29,8234,9406,8380,31,4513,6441,6316,21,8226,10221,7905,32,8978,6153,6280,26,3874,5659,4668,17
55369,55794,55369,55876,"Npun_F0036","hypothetical protein",7381,5877,13243,20,4227,7348,3047,11,8221,7702,5499,16,7869,12476,11050,24,4304,3895,4048,9,3767,3733,5251,9,7354,11276,11661,23,9419,12574,10640,25,4929,5900,1650,9,4759,4670,5741,11,9638,9730,10179,23,25332,46300,24332,75
56243,56962,NA,NA,"Npun_F0037","4'-phosphopantetheinyl transferase",18235,12901,7033,17,16912,9832,7094,15,10110,10973,10073,14,10025,10980,6319,12,9517,8338,6248,11,9512,8365,8122,12,9852,7529,8394,11,9605,7860,7224,11,5108,6116,5045,7,8430,8650,7977,11,6470,6012,7918,9,7320,10636,7090,11
57856,57053,NA,NA,"Npun_R0038","short-chain dehydrogenase/reductase SDR",27218,21853,15155,26,18043,15184,16237,20,16164,19005,18221,22,17096,18849,14220,20,12235,9941,8237,12,11880,11648,9135,13,14096,16383,10435,16,15300,15050,11195,17,6669,6504,11893,10,11884,11317,10800,14,11327,11737,11846,14,7448,5043,8457,8
59938,58424,59938,58385,"Npun_R0039","polyketide synthase thioester reductase subunit HglB",199347,117499,124543,97,104959,218704,176527,110,181581,120417,150668,99,130627,112581,98059,75,66664,73193,80176,48,143701,142203,122091,89,120458,182202,168711,103,106616,133285,114167,77,100688,109151,115629,71,143717,180944,193662,114,70150,63683,56025,41,101354,139543,165851,89
61617,59941,61891,59939,"Npun_R0040","2-nitropropane dioxygenase",248648,127961,59947,86,127114,145932,115902,77,177713,138097,167148,95,138510,127230,95096,71,82616,76132,69144,45,149830,138167,112543,79,102013,162491,139990,80,116233,103954,89925,61,90721,79809,90003,51,138496,157936,140257,86,36710,43791,35333,23,81090,91804,106395,55
66640,61892,66945,61892,"Npun_R0041","beta-ketoacyl synthase HglC",246137,90506,109181,31,111113,242034,170712,36,158390,102135,112105,26,123397,122522,101901,24,102332,104728,106306,21,144587,139322,100277,26,75721,115943,105715,20,81973,96881,89210,18,101280,107471,145429,24,148318,206710,177964,37,59086,66651,40863,11,107460,196790,212903,36
68673,66946,68689,66946,"Npun_R0042","KR",107628,55257,53384,41,61585,86632,69195,41,92617,54914,59931,40,65369,58303,45081,32,39136,38791,39116,22,66471,58335,45187,32,45764,82675,69612,38,43377,51482,50063,27,37770,42670,134166,41,73541,84346,84789,46,51770,51402,28530,25,55327,113249,109085,53
74142,68809,74473,68793,"Npun_R0043","polyketide synthase phosphopantetheine-binding HglE",706081,495442,611977,113,435791,990958,703838,133,753426,430827,538372,107,582508,501226,560598,102,327785,352082,386104,66,567669,529720,402660,93,438076,720477,657468,113,419199,495922,466692,86,417610,483032,879808,111,607133,836885,798175,140,537911,430732,318554,80,481897,1039224,1211610,170
76173,77381,76173,77381,"Npun_F0044","secretion protein HlyD, DevB",185142,135500,183814,139,136237,349173,232891,198,180045,100093,118634,109,134723,138829,132966,112,117373,112876,133392,100,175134,157683,145800,131,137587,215757,210468,155,141959,155106,153353,124,147540,187839,201921,148,209342,273588,260135,204,67219,69374,53935,52,146876,258341,306980,196
77441,78634,77382,78841,"Npun_F0045","DevC protein",135245,53994,9593,55,63563,60947,54572,49,77068,56366,66060,55,57378,43825,36433,38,35587,34296,30707,28,46584,51639,33549,36,32478,59494,44601,38,44818,47476,30318,34,31227,26488,18006,21,55390,64759,49713,47,12135,16273,11738,11,31078,25528,35304,25
78842,79846,78842,79969,"Npun_F0046","NAD-dependent epimerase/dehydratase",177202,124624,66833,122,76495,100562,69241,81,106887,106767,106383,106,122060,110136,101875,110,49076,43295,40368,44,78954,65966,52427,65,92422,99563,90710,93,90333,95925,77847,87,56515,55728,45309,52,73631,72350,60335,68,57260,50414,58630,55,49552,58163,57196,54
80060,81043,79970,81119,"Npun_F0047","glycosyl transferase family protein",183061,75449,75220,113,68630,139365,95871,102,92024,64495,77977,79,86506,70624,57795,72,39485,40955,39671,40,60312,58910,43573,55,38504,62981,51840,51,40522,56678,43922,47,42050,39136,31406,38,58989,70101,58488,63,13538,16916,13417,14,38508,39905,46558,42
81120,81587,81120,81598,"Npun_F0048","hypothetical protein",118800,27289,27163,123,44413,52598,29401,90,41035,29739,38421,77,42161,34277,28149,74,27513,24643,24632,54,36954,34450,27560,70,18278,39300,30590,62,27297,29598,23734,57,21250,21728,19061,44,39040,44465,32843,82,6842,8230,5851,14,29644,30196,36091,68
81723,83009,81610,83037,"Npun_F0049","glycosyl transferase family protein",124549,37709,17598,46,55833,40854,34907,34,50047,45596,55276,39,57157,47829,34532,36,38846,41996,40334,31,50041,51096,36234,35,28050,50787,40386,30,39304,44557,31418,29,33526,28726,36564,25,46137,60073,41384,38,9082,13592,6884,7,33928,24266,31493,23
83420,84697,83403,84759,"Npun_F0050","group 1 glycosyl transferase",244994,95486,77575,109,151243,253813,186158,154,171220,74000,112891,93,159782,129003,128293,108,100320,92974,95240,75,94772,95694,54829,63,55487,94240,85217,61,77772,88920,97292,68,100597,108617,339444,143,99178,141104,112301,91,21383,30402,16005,17,87695,96158,119799,79
85533,84760,85533,84760,"Npun_R0051","1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase",107192,60695,87168,109,118986,126555,118995,156,100762,70905,73576,105,90707,87626,95331,117,119040,115694,118637,152,88161,93734,81153,113,73160,77739,81478,100,71970,85628,87998,105,86079,88567,85209,111,89932,93664,79384,113,57413,55939,67041,77,73013,69642,90568,100
85887,85588,NA,85534,"Npun_R0052","hypothetical protein",16394,17792,6268,44,26525,18211,23980,76,20881,16901,19720,63,17420,13617,22959,59,28706,27507,25293,90,19695,20931,21543,69,14165,16491,15854,51,14907,15172,17689,53,21145,20159,14182,61,20937,20840,22642,71,13392,15803,18642,53,16609,24805,29467,78
86219,85884,86364,NA,"Npun_R0053","hypothetical protein",29248,22329,7210,58,29092,17265,18080,63,21507,26196,25338,72,28020,23298,24939,75,43056,44298,45800,132,28785,28133,27257,83,19129,20168,16743,55,20617,25192,19120,64,23057,18663,13535,54,31691,26063,24238,81,15582,17880,24987,57,17828,18818,18724,54
86418,87464,NA,87464,"Npun_F0054","polysaccharide pyruvyl transferase",46139,34125,12448,29,30505,15358,15250,19,31832,42398,43685,37,48623,47233,55633,48,30874,33066,31121,30,30457,31148,26943,28,36466,35347,31636,32,41754,36682,32976,35,20554,20322,14366,17,29437,26952,22975,25,29186,29923,40546,31,18586,12659,14401,14
87614,89074,NA,NA,"Npun_F0055","hypothetical protein",32359,27238,25927,19,12120,14104,17412,9,26468,19040,20197,14,20425,18418,21110,13,19502,17871,17749,12,20503,19656,18015,13,18960,27562,27175,16,25028,27627,21105,16,15338,19455,15097,11,23784,24984,25126,16,22386,27142,26854,17,34085,23500,17894,17
90005,89226,90014,89226,"Npun_R0056","hypothetical protein",69484,77856,66745,91,44512,44503,43825,56,64174,60217,71141,83,72400,73957,85423,99,45408,47654,49062,60,53341,54299,61747,72,74391,77034,88678,102,80198,80984,100793,111,46059,54453,53451,65,56638,56865,61285,74,72346,80342,78663,98,52195,60410,59940,73
90083,90901,90083,90991,"Npun_F0057","biotin--acetyl-CoA-carboxylase ligase",129510,121997,94173,140,103904,97699,107993,126,92820,131306,125756,142,95210,100958,82908,113,82357,79459,89208,102,88019,83534,68533,97,95485,93466,93529,114,87725,99113,83978,110,77873,80389,36008,79,79767,90026,80048,101,74750,63302,75196,86,56676,57690,65606,73
90992,92569,90992,92569,"Npun_F0058","peptidase M23B",1033590,1291422,691583,637,1515237,1190630,1352007,857,1232757,1253515,1472278,836,1347835,1276756,1414775,853,1803937,1698501,1764260,1112,1576919,1459686,1393146,935,1445142,1701214,1594036,1001,1509118,1309936,1473850,906,1883404,1989451,980687,1025,1546740,1735558,1606389,1032,1378678,1268747,1061398,783,1468623,1475699,1577308,955
93350,92670,93350,92669,"Npun_R0059","riboflavin synthase subunit alpha",171640,145711,128899,218,133602,128487,112874,183,137117,145618,156930,215,185102,165668,164037,251,121582,125537,117787,178,124115,120973,91911,164,133508,131663,120448,188,140637,132681,117864,191,87690,79252,129544,145,108072,106457,102274,155,100919,92058,120242,153,71523,54260,59028,90
93691,94188,93690,94289,"Npun_F0060","hypothetical protein",157021,197089,141288,331,167205,162740,124875,304,144313,159227,155684,307,192253,179892,249487,416,168222,160849,184231,343,179289,172545,164772,345,180748,217255,201624,401,211723,214595,214621,429,165499,188079,138022,329,171357,170172,173696,344,196746,221975,228958,433,179494,110493,117821,272
94338,95468,94290,95599,"Npun_F0061","aldo/keto reductase",40436,41076,23660,30,22907,27212,31563,24,29626,35467,28624,27,39992,40763,44271,36,40926,42972,44021,37,41199,42553,43106,37,41771,51839,48604,41,51484,58937,49760,47,34254,37991,26536,29,37041,41761,45586,36,41438,46846,54898,42,36356,27240,26457,26
95679,97442,95670,97451,"Npun_F0062","ABC transporter",116915,129875,75691,60,89029,75171,81310,46,99161,128217,140241,69,150503,154041,124262,81,89039,103040,98705,54,87778,81934,84466,48,116766,97633,101407,59,125727,122866,115345,68,82366,75487,66951,42,80865,67326,78001,42,106332,104820,128632,64,62800,52467,61397,33
98013,97591,NA,NA,"Npun_R0063","hypothetical protein",15450,12402,4267,25,6647,7696,8029,17,8031,8088,5726,17,9662,10515,8402,22,6635,6315,6207,15,6083,6346,5095,13,6751,8637,7356,17,10940,8270,11882,24,4513,3645,7714,12,5578,5067,6431,13,19267,19190,18345,44,4447,5433,6656,13
99008,102541,99001,102582,"Npun_F0065","methionine synthase",562493,1025111,1635638,304,687991,1028198,969149,253,889988,812883,876861,243,1007790,1050461,1242613,311,670364,779266,863599,218,855826,747179,875046,233,1238470,1306978,1515087,382,1328113,1373922,1658454,411,1065916,1304085,1058345,323,833880,891712,1048058,261,2322180,2034334,1354003,538,971754,1684294,1544890,396
103560,108260,103343,108260,"Npun_F0066","hypothetical protein",89095,123653,86080,21,72821,82206,80978,16,69432,78590,72452,15,75273,74040,91268,17,58693,69979,67042,13,69008,67124,62964,14,81778,124044,94560,21,101038,92392,76684,19,67597,116499,50687,16,71622,82279,94774,17,97896,90381,89654,19,1068655,2511461,946698,320
108282,108962,108273,109086,"Npun_F0067","hypothetical protein",28236,25131,7739,29,15639,23424,16325,27,22346,23402,17890,31,21168,22280,19680,30,17858,18665,16525,25,16359,18290,17157,25,18721,25330,21470,32,23509,23596,19225,32,18733,20629,20243,29,16496,16996,16175,24,16670,17648,21757,27,114365,182866,79276,184
109090,110058,109090,110058,"Npun_F0068","hypothetical protein",14409,24868,22307,21,9103,19346,20672,16,17202,15912,16061,16,16013,18057,18536,18,10839,9417,9754,10,14064,11332,15698,14,17435,24881,24289,22,23299,22024,26239,24,14799,23975,15465,18,14786,16916,21861,18,29439,30193,19195,27,130705,210399,88822,147
110087,110785,110059,110785,"Npun_F0069","PilA",8219,7667,4532,9,3646,4475,3350,5,9466,6961,9961,12,8920,10165,7634,12,6676,7423,6686,9,6407,5327,6004,8,6922,11494,8287,12,12574,9697,9015,14,6372,7198,5661,9,7562,8699,8648,11,9957,12422,11436,16,42760,52514,22554,56
110985,111950,110881,111950,"Npun_F0070","glycosyl transferase family protein",46916,37479,16185,34,18576,13487,20427,18,26369,24752,22291,25,24592,28985,27267,27,23926,26027,24661,25,15654,18684,12627,16,18212,23568,20533,21,31685,26783,25502,28,14517,19678,20902,19,18919,13987,15224,16,23014,30376,25995,27,32581,33786,22713,30
111963,112952,111951,112953,"Npun_F0071","glycosyl transferase family protein",46725,30900,4355,27,11913,21149,21834,18,21761,23209,20635,22,25759,24171,24481,25,26328,27349,24827,26,11962,10268,10499,11,17435,23561,18851,20,28492,30612,29642,29,19306,20512,17818,19,15375,13388,14630,14,29237,34889,34556,33,34566,51509,26498,37
112954,114030,NA,NA,"Npun_F0072","glycosyl transferase family protein",35585,17879,9947,19,9071,10116,11535,9,15794,11267,12090,12,7678,9594,12147,9,21190,19345,15140,17,7711,8818,5028,6,9104,11323,7834,8,16988,13923,12273,13,14571,15506,16656,14,8397,8616,7822,7,15696,20550,20746,17,19086,31935,19329,21
113996,114565,NA,114565,"Npun_F0073","hypothetical protein",46720,39304,59270,84,16821,25799,22973,38,24276,23488,21088,40,22205,32265,37596,53,19590,21725,22242,37,12147,13095,13034,22,17967,20141,18068,32,19716,33044,19928,42,13384,15094,19592,28,18461,18721,15527,30,20844,18912,41558,47,19031,20918,16751,33
115516,114623,115568,114570,"Npun_R0074","transposase, IS4 family protein",45141,49479,55385,55,27815,42382,36424,39,41454,36842,41768,44,60408,64490,74456,74,30216,32054,36494,36,30660,32412,35431,36,39875,34535,43972,44,36459,48428,48580,49,28773,34133,60491,46,36038,33565,41212,41,60511,58668,48756,62,27086,33492,35352,35
115604,116251,NA,NA,"Npun_F0075","hypothetical protein",33360,27169,21836,42,8553,10589,10861,15,19704,25798,21403,34,24379,36688,25253,44,14648,14986,16049,23,19157,14377,14764,24,21322,17965,22159,31,21401,25052,21248,34,12779,13075,11522,19,12673,12871,13397,20,22309,18003,29758,36,12896,9655,12875,18
116386,117705,116386,NA,"Npun_F0076","transposase, IS4 family protein",42282,38086,18687,25,24340,36244,37407,24,42431,33657,32581,27,29284,34137,30187,23,18015,26321,23461,17,20633,22085,23427,16,30105,28767,34159,23,31611,30495,34578,24,14517,18163,24127,14,24601,26188,30527,20,34370,43816,30738,27,17882,25485,28197,18
118028,118870,117893,118870,"Npun_F0077","hypothetical protein",162278,235448,234785,250,486940,630249,641340,695,345378,186348,231389,301,234939,245470,285643,302,484259,493940,493260,581,523256,481183,608423,637,328458,526401,495114,533,358453,332013,491832,467,704384,932140,696995,922,577355,652837,771849,791,415087,481896,253970,455,847299,1338941,993937,1257
118995,119903,118871,119961,"Npun_F0078","glycosyl transferase family protein",35291,36364,16980,32,39513,41979,50372,48,46060,36858,43433,46,37981,45390,46743,47,36249,38675,36963,41,33672,33039,40692,39,27228,48818,43802,43,44571,52750,47611,53,33553,51689,30047,42,41474,47637,49205,50,47119,53982,48686,54,76105,71380,61656,76
