"Translation.Start","Translation.Stop","Transcription.Start","Transcription.Stop","Synonym","Product","Dawn0-1","Dawn0-2","Dawn0-3","Dawn0","Dusk0-1","Dusk0-2","Dusk0-3","Dusk0","MidDark1-1","MidDark1-2","MidDark1-3","MidDark1","Dawn1-1","Dawn1-2","Dawn1-3","Dawn1","MidLight1-1","MidLight1-2","MidLight1-3","MidLight1","Dusk1-1","Dusk1-2","Dusk1-3","Dusk1","MidDark2-1","MidDark2-2","MidDark2-3","MidDark2","Dawn2-1","Dawn2-2","Dawn2-3","Dawn2","MidLight2-1","MidLight2-2","MidLight2-3","MidLight2","Dusk2-1","Dusk2-2","Dusk2-3","Dusk2","Dark24-1","Dark24-2","Dark24-3","Dark24","Light24-1","Light24-2","Light24-3","Light24"
9055,10584,NA,NA,"Npun_AF011","hypothetical protein",43556,22217,22424,19,24746,23175,22033,15,26400,29871,23350,17,14990,25838,12644,11,21195,24375,17676,13,19867,21021,14273,12,19926,21378,18831,13,24713,23913,15892,14,15533,12941,10247,8,20788,20471,20262,13,22032,21374,26400,15,14449,17151,14826,10
11836,10571,11836,NA,"Npun_AR012","hypothetical protein",142184,154843,292024,155,58313,115174,77787,66,119890,91817,90258,79,118423,122942,125841,96,41355,46267,50590,36,60226,58107,59328,46,85754,101064,139780,85,130571,155620,167329,119,43354,53488,47095,37,68230,69244,71853,55,179955,148686,144120,124,69511,106671,105273,74
12342,12533,NA,NA,"Npun_AF013","hypothetical protein",3694,2407,1383,12,5978,3270,4314,23,1444,3071,1289,10,1797,1600,1197,7,3086,3860,4122,19,2775,3346,1701,13,1459,743,902,5,1939,729,1430,7,873,1325,1921,7,3574,1923,3097,14,1555,1827,2809,10,3365,1484,1299,10
13274,13023,13296,12910,"Npun_AR014","hypothetical protein",8034,13144,14331,46,4473,11395,12948,38,11887,6058,6222,31,11519,16046,13878,54,4973,5104,6862,22,6168,4600,6211,22,8740,7377,8217,32,8258,10200,9755,37,4576,5507,13875,31,7777,4946,7524,26,9103,9673,11159,39,5736,9693,8546,31
14028,13561,NA,NA,"Npun_AR015","XRE family transcriptional regulator",0,287,0,0,0,0,0,0,0,36,57,0,61,34,0,0,35,95,70,0,41,76,47,0,45,0,85,0,95,124,0,0,26,30,0,0,15,0,0,0,52,110,77,0,57,0,211,0
14106,15020,NA,NA,"Npun_AF016","phage integrase family protein",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15142,18186,NA,NA,"Npun_AF017","transposase Tn3 family protein",61,35,0,0,47,189,296,0,69,30,49,0,20,74,221,0,34,56,74,0,160,77,40,0,127,65,98,0,94,182,201,0,83,20,71,0,48,84,72,0,157,77,91,0,26,244,62,0
21482,19236,NA,NA,"Npun_AR019","RecD/TraA family helicase",30485,22915,21983,11,11312,12760,14228,5,18179,21247,18546,8,32300,26813,36076,14,12562,17441,17942,7,13521,17772,11766,6,18889,18838,15321,7,20418,19679,16917,8,9429,9744,10487,4,15415,12963,11851,5,16302,15259,25017,8,8131,5472,6900,3
21891,22667,NA,NA,"Npun_AF020","cobyrinic acid a,c-diamide synthase",10778,10877,0,9,10496,7273,7762,10,5480,8020,9316,9,5895,6205,6215,7,6809,9749,7591,10,7838,8577,7243,10,4415,5475,5530,6,5173,4630,4219,6,3610,3228,2461,3,8184,6711,7623,9,3441,2520,4582,4,4709,3165,2850,4
22664,23587,NA,NA,"Npun_AF021","parB-like partition protein",10136,11649,0,7,8474,19526,12252,14,11870,8140,7691,9,4536,5971,5606,5,6805,7203,7252,7,8229,9322,8296,9,7759,8433,9348,9,10472,7799,9348,9,4900,4628,5637,5,7100,6992,8589,8,7837,5721,7189,7,5336,6905,7150,6
25161,26120,25126,26120,"Npun_AF025","hypothetical protein",26808,23295,19423,24,22529,31320,33568,30,20815,20058,20520,21,18741,20893,11761,17,28843,33880,26847,31,25561,24868,25284,26,22494,24651,19457,23,20373,23206,24772,23,23669,26584,22029,25,30653,25063,29822,29,25000,24737,23410,25,23295,21917,24213,24
26131,26424,26121,26638,"Npun_AF026","hypothetical protein",7369,5864,9829,26,10372,12202,11698,38,4456,5601,4406,16,2920,4906,2689,11,5140,6144,5531,19,4957,4914,5248,17,6352,4260,5055,17,4330,5182,6037,17,5244,5633,5337,18,6736,7145,6404,22,6715,7842,5618,22,5326,5744,7547,21
26639,26896,26639,NA,"Npun_AF027","CopG/Arc/MetJ family transcriptional regulator",46841,36763,14567,126,21721,16718,17064,71,41495,33713,39836,148,53173,48548,45203,189,26655,26746,24709,100,28217,28250,24968,105,34114,36299,35622,136,44217,44262,43814,170,19165,23362,16156,75,30173,27928,26765,109,48193,48280,52732,192,20467,17214,17712,71
26896,27198,NA,27354,"Npun_AF028","plasmid stabilization system protein",50143,38645,35756,137,21462,16882,22394,66,37255,38451,41268,128,40651,38972,37447,128,26950,31569,29451,96,30631,25647,25503,89,32907,35274,31416,109,42530,47393,40884,143,19901,17344,12600,54,30564,24590,25492,88,35836,41521,45198,134,19704,11240,14184,49
32191,27368,NA,NA,"Npun_AR029","hypothetical protein",47177,40598,50029,9,21506,51274,48324,8,29259,28239,25621,5,30709,34134,31893,6,19907,27692,26457,5,21488,23692,18214,4,27418,19538,23129,4,23637,30010,30894,5,18075,24036,26855,4,27035,23412,30025,5,43940,34547,45215,8,18576,32204,38015,6
32266,32769,32192,32981,"Npun_AF030","hypothetical protein",9234,14913,12213,24,7268,25739,23166,37,10183,10248,6424,17,11686,14912,15380,27,7243,8408,10347,17,9024,7876,10893,18,7456,9487,10024,17,7137,16633,11934,23,10415,13823,22145,30,10795,11589,13841,23,10013,12329,12893,23,10279,13645,17016,27
33391,32990,33636,32990,"Npun_AR031","hypothetical protein",5097,13297,6062,20,19587,23573,30264,60,8735,9066,8184,21,7047,8990,5244,17,14170,16882,13197,36,15301,11340,12240,32,10634,8805,11330,25,11849,10423,10827,27,20487,23098,6819,41,21365,24865,21355,56,18555,19546,12418,41,19744,20969,24718,54
34173,33655,NA,33655,"Npun_AR032","hypothetical protein",4338,6872,4502,10,22963,10928,19971,34,7700,6945,9602,15,7306,5486,6869,12,19195,21312,21476,39,17321,13681,16480,30,9434,9463,11975,19,7649,8490,9725,16,21795,26173,26264,47,24348,23934,26296,47,17974,18398,13209,31,23203,28206,34057,54
34940,34089,35045,NA,"Npun_AR033","hypothetical protein",12668,18405,19158,19,52227,85044,69612,80,24324,22593,24334,27,15305,18803,16809,19,49034,49530,50533,58,44368,37383,40399,47,30282,25141,35820,35,21497,24634,28685,29,57409,69091,72261,77,52305,63544,70206,72,47680,47055,35603,50,60209,78933,80949,86
35480,35046,35480,35046,"Npun_AR034","hypothetical protein",9068,15171,18216,32,29880,37269,35789,78,9557,13375,14278,28,9955,10691,14697,27,22577,28579,27803,60,22062,20597,21083,48,13046,11680,16343,31,11960,10798,12309,26,26724,27115,24266,59,25256,25674,30077,62,19375,18581,17906,42,28366,37930,41404,82
36621,35557,NA,NA,"Npun_AR035","hypothetical protein",5085,4280,0,2,16455,31280,37912,26,10207,9395,7033,8,3388,5642,2713,3,17589,18442,17422,16,12740,15030,12712,12,5493,5046,6326,5,3974,5608,5190,4,11924,14117,11558,11,14645,15307,19832,15,6693,7431,6289,6,16628,16886,21637,17
37398,43826,NA,NA,"Npun_AF036","exonuclease V subunit alpha",52418,66856,67775,9,42411,88145,81512,10,51598,55808,50667,8,57124,61914,59581,9,33663,42142,47933,6,44586,41074,47962,6,66394,53900,67773,9,56126,68841,72775,10,38524,48717,47942,7,45383,43523,55900,7,121905,97836,79725,15,47827,71393,84385,10
44737,43874,NA,NA,"Npun_AR037","restriction endonuclease",4224,6263,4502,5,8251,6367,13209,10,3699,3355,2602,3,2966,3158,2195,3,6021,6976,5910,7,3855,3635,3139,4,2947,2650,3124,3,3634,3546,3510,4,3973,4430,5952,5,4876,3304,4158,4,7231,5752,5075,6,3871,2707,6029,4
46182,44935,NA,44738,"Npun_AR038","hypothetical protein",6933,8140,0,4,20558,38574,27737,23,7948,6625,7454,5,5962,6680,7379,5,15576,17586,18675,13,11500,10550,9434,8,6990,6913,7683,5,8067,6904,11273,7,13210,16312,16532,12,12815,14011,11545,10,18402,13377,14720,12,16257,28782,33159,20
46591,46175,NA,NA,"Npun_AR039","hypothetical protein",1776,854,0,2,2559,7582,2643,10,1436,1569,1817,3,727,1510,1767,3,2773,2660,3528,7,1682,1930,1322,3,1684,1781,432,3,1493,1435,951,3,2017,1832,1462,4,1776,1767,2278,4,2642,1971,1661,5,2533,4917,5279,10
48609,46846,NA,NA,"Npun_AR040","hypothetical protein",31493,22167,10594,12,48031,73991,55715,33,14630,21202,18588,10,18781,23281,21512,12,24372,35771,36502,18,16950,18577,11780,8,11064,9482,10329,5,11976,17837,13623,8,19717,17355,19580,10,21807,20487,19521,11,18595,14864,23705,10,21748,25937,26465,14
49784,48606,NA,NA,"Npun_AR041","hypothetical protein",17090,18593,14685,14,56852,87055,77048,62,14621,12857,17093,12,13774,14335,13254,11,52143,66199,66006,52,35151,34381,28536,27,11293,15211,14110,11,14314,12330,16486,12,42138,36179,68274,41,38671,41949,38937,33,17596,18369,23883,16,42141,35676,47587,35
50614,49784,50614,NA,"Npun_AR042","hypothetical protein",10524,19317,20158,20,38303,81101,81584,80,16665,10421,8916,14,11809,12771,13718,15,24034,36551,42044,41,21942,19868,18551,24,11320,8906,10220,12,9226,9613,12465,12,25631,30864,43907,40,25052,28442,30868,33,17002,14967,16020,19,31556,53932,63019,59
52111,50645,NA,50615,"Npun_AR043","hypothetical protein",24663,30479,29370,19,61465,90222,97961,56,26918,29239,27005,18,24607,27394,36023,20,45942,58290,69804,39,33568,30165,27540,20,21038,22012,22407,14,23503,21377,26760,16,46857,52710,61845,36,38287,36270,44007,26,34095,26824,27791,20,49637,73087,90057,48
52827,52108,NA,NA,"Npun_AR044","hypothetical protein",5902,6458,4561,7,25562,32798,34363,42,5885,4955,5005,7,4920,5542,5448,7,19879,26276,21478,31,10859,11379,6191,13,3622,4886,4577,6,6324,5863,5221,8,12530,15433,10379,17,12429,12145,13063,17,6761,6366,5625,8,14405,17588,22734,25
53882,52824,53906,NA,"Npun_AR045","hypothetical protein",5220,12079,15744,10,39700,48874,48676,43,10303,11576,10064,10,10921,9782,9024,9,28301,39426,33942,32,19258,19265,15158,16,8522,10739,12282,9,12769,11732,14201,12,25347,26125,19336,22,18420,21939,24007,20,18091,15521,15028,15,20701,34091,38995,29
54605,53913,NA,53913,"Npun_AR046","hypothetical protein",15305,22364,19540,27,67117,105222,75505,119,17428,22233,19261,28,19251,18571,24637,30,63430,76846,79483,105,36372,35677,30390,49,16104,16381,21346,25,20587,26971,23907,34,54331,59718,77666,92,42893,45602,45581,64,29184,26747,30743,41,55419,66953,77766,96
55125,54583,NA,NA,"Npun_AR047","hypothetical protein",7406,12902,9064,18,39485,68326,52502,98,8131,10316,11144,18,8747,7945,10168,16,37442,55076,49274,87,23174,21947,15786,37,10616,9706,8955,17,12704,13883,9244,21,40085,39901,47710,78,25796,26173,26580,48,15572,14035,14193,26,38017,43459,45899,78
57860,55122,58080,NA,"Npun_AR048","AAA ATPase",53699,58810,33107,17,176388,238574,254625,81,57293,54138,46235,19,69137,64029,70287,24,148008,197651,190208,65,72795,71514,60109,24,41823,38209,44914,15,45282,48071,45583,16,142163,144841,150087,53,91103,94842,91179,33,55853,51506,53631,19,129664,162654,197158,59
58665,58195,58722,58081,"Npun_AR049","hypothetical protein",7213,6432,5238,13,44397,45698,48891,98,4953,3745,4332,9,4907,4808,5829,11,39229,50139,49507,98,17472,17741,13888,34,3103,4652,3611,8,3787,5172,4737,9,26427,30311,41650,69,21529,21352,19088,43,4833,6489,5114,11,28196,23537,33488,60
59034,58723,59035,58723,"Npun_AR050","hypothetical protein",17208,15236,6798,41,81805,122109,114882,340,21669,13434,14532,53,9560,13418,5763,30,84182,115812,100383,320,53873,45865,44238,153,14348,12562,13128,42,10423,11312,14935,39,78157,76248,55956,224,44376,42512,45787,141,16446,15926,12343,47,53501,58806,71423,196
59346,59140,59363,59122,"Npun_AR051","hypothetical protein",5818,7673,4267,28,7538,12695,15934,58,5174,4797,4404,23,5033,6513,4781,26,9792,10244,9049,46,8180,5868,8509,36,7163,5070,6539,30,6060,6805,7091,32,9438,7112,5381,35,7808,6277,7314,34,8493,6000,8096,36,6692,9527,9395,41
59547,59939,59534,60123,"Npun_AF052","hypothetical protein",2602,5574,0,6,4103,16479,8892,24,5069,4456,4907,12,1330,4651,3248,7,5291,4298,7321,14,6598,6416,7534,17,3734,4663,5051,11,3505,4440,4919,10,5179,7151,12453,21,4167,4284,8279,14,6417,6291,5735,15,7419,14232,10343,27
61041,62272,NA,NA,"Npun_AF054","hypothetical protein",670,963,0,0,712,313,879,0,762,571,324,0,368,581,942,0,383,599,629,0,412,323,518,0,672,348,391,0,562,451,893,0,281,392,1522,0,761,495,628,0,1353,1096,705,0,339,387,643,0
64196,64390,NA,NA,"Npun_AF057","hypothetical protein",3522,3125,1353,13,3236,4396,996,14,1401,2605,1976,10,2009,2262,3013,12,1302,1428,1796,7,1466,2000,1099,7,1128,2042,2905,10,2084,2527,3006,13,881,604,635,3,1781,1591,1753,8,2964,3512,4213,18,594,770,3711,8
65158,64454,65307,64391,"Npun_AR058","hypothetical protein",9044,16592,24455,23,7013,19715,13186,18,10869,8657,6921,12,8328,10993,8647,13,4635,5351,8730,8,6706,7564,7282,10,8702,8856,12329,14,8547,10847,14004,15,5634,7592,14378,13,8060,7491,9534,11,15817,10555,9230,16,7803,16932,17197,19
66439,67101,66413,67203,"Npun_AF059","phage integrase family protein",13846,14676,22189,25,9365,23513,16927,25,9337,19224,14047,21,17704,20183,25747,31,13566,18015,22820,27,18471,16854,16386,25,14135,10944,14325,19,14477,17317,15270,23,12400,15355,18094,23,17197,15022,18097,25,12591,14195,19300,23,16744,19840,20521,28
70677,67204,NA,NA,"Npun_AR060","hypothetical protein",11966,11909,15832,3,27612,22672,24260,7,10676,15372,11143,3,13987,12642,11737,3,10518,12221,12386,3,14223,13094,11247,3,12115,8903,9010,2,10547,10702,8517,2,7639,8580,8709,2,12039,9872,11526,3,12007,8657,10633,3,15283,14190,12250,4
71702,73144,71592,NA,"Npun_AF061","hypothetical protein",39167,43962,112654,45,19603,57846,33852,25,31696,22016,19993,17,20191,16460,31213,15,14081,14343,13890,9,12629,12577,13994,9,18667,21240,28358,15,23966,29966,36160,20,11062,15343,10631,8,17894,16299,18573,12,51464,38738,35366,29,19983,71395,53977,33
73129,75087,NA,NA,"Npun_AF062","TPR repeat-containing serine/threonin protein kinase",25723,13211,17981,9,12096,13586,12056,6,13356,9315,13138,6,11519,11864,12905,6,6958,8221,7984,3,5569,7544,7106,3,7630,10184,9557,4,14080,14775,11176,6,4051,4672,5309,2,8196,7769,7243,3,18345,15059,20909,9,7276,8070,7892,3
75247,76125,75095,NA,"Npun_AF063","hypothetical protein",9089,9956,13507,12,37240,37055,57008,49,13851,9367,8769,12,8579,7745,5682,8,28769,31210,33069,35,22365,20635,20240,23,8513,10522,8796,10,10322,6527,7103,9,19852,24164,16819,23,23411,24817,25640,28,10304,8835,11155,11,21079,28603,30797,30
78590,76086,NA,NA,"Npun_AR064","tetratricopeptide domain-containing protein",27151,22206,23631,9,63837,74375,77022,28,28841,14266,18846,8,15591,14617,15148,6,36130,35858,40844,15,25562,25019,22395,9,10732,13916,13951,5,13328,14220,14317,5,20816,23810,21809,8,28569,24590,32186,11,17363,15287,15604,6,25499,29683,37131,12
80858,78603,80925,78591,"Npun_AR065","filamentous haemagglutinin outer membrane protein",56058,43928,63095,24,101162,151179,142301,58,56774,50917,43755,22,44005,47517,47638,20,52071,64823,59850,26,40436,47255,44102,19,31886,27297,30479,13,25973,34479,38433,14,30029,38936,29021,14,54288,55971,57915,24,30345,31539,30816,13,38682,56952,70854,24
81085,81876,NA,NA,"Npun_AF066","methyltransferase type 11",8302,9666,13537,13,7733,14861,11128,14,6562,8907,4537,8,4502,4292,7356,6,5911,5953,6672,7,5947,6461,6791,8,8348,8473,8368,10,7950,10054,11772,12,5949,5272,4023,6,5998,4957,7471,7,9300,7777,6677,9,4486,10076,8379,9
82306,83247,82204,83247,"Npun_AF067","hypothetical protein",69441,132661,62713,93,33156,41227,38517,39,48152,76347,82454,73,103091,103744,96702,107,33253,40087,45612,42,40303,36378,33962,39,83219,74000,73423,81,98481,96980,89432,100,40125,43246,58278,50,44819,44851,44654,47,91370,97929,104946,104,33792,19152,24598,27
83657,83289,83667,83248,"Npun_AR068","hypothetical protein",126855,157095,48675,300,40739,28831,40383,99,58286,107052,99196,238,93914,94447,72722,235,34205,41338,45254,109,44019,44336,34425,110,103109,80338,82407,240,113318,100868,85334,270,41931,33695,37123,101,43698,44582,41191,116,95733,90427,78174,238,40366,16937,21904,71
84030,83764,NA,NA,"Npun_AR069","hypothetical protein",2056,1258,0,4,1918,0,361,2,725,1439,1171,4,1396,1148,1244,4,1018,1284,1173,4,1188,833,442,3,1205,1035,707,3,622,1170,786,3,263,345,0,0,501,281,503,1,693,410,1302,3,128,347,319,0
86605,84422,NA,NA,"Npun_AR071","peptidase C14, caspase catalytic subunit p20",21618,26717,21041,10,24411,36403,31709,14,18485,26743,25343,10,24111,23730,21110,10,16900,21027,23573,9,17754,14361,11569,6,23145,26630,30898,12,34396,32435,22809,13,13620,20087,16683,7,20068,18878,16583,8,30991,21521,23966,11,23667,21026,31726,11
89213,86697,NA,NA,"Npun_AR072","hypothetical protein",14166,18990,39258,9,9839,16867,18767,6,13233,12803,12029,5,11795,12943,16413,5,6514,8866,10166,3,9968,8280,9814,3,16468,14134,18761,6,19744,23424,24060,8,8161,10407,19053,4,10973,10744,12744,4,18255,15786,14362,6,9076,25515,22532,7
91775,89322,91775,NA,"Npun_AR073","TPR repeat-containing protein",29918,58419,31341,16,35553,39256,32347,14,45422,56161,49680,20,52340,54607,54150,21,24182,29267,32232,11,35628,34285,33376,14,62152,55245,71539,25,74435,73867,68205,29,31175,31048,36967,13,37039,34357,34876,14,38324,34066,37452,14,34154,40677,54807,17
91982,93133,NA,NA,"Npun_AF074","hypothetical protein",5874,6436,13596,7,4135,12536,7964,7,7420,6787,5620,5,5580,5597,8146,5,3793,4544,5476,3,5386,3994,3201,3,4453,3876,4635,3,5879,6381,5301,5,3206,4046,6831,4,4695,2228,5116,3,7777,6275,8288,6,5279,7727,7138,5
93729,94574,NA,NA,"Npun_AF075","two component AraC family transcriptional regulator",8401,18811,9888,14,5389,9046,8631,9,10938,21528,18915,20,11955,13084,13322,15,6889,6578,7389,8,10740,8944,7271,10,19115,17195,26085,24,26710,24099,20897,28,5141,6259,5061,6,7360,8160,9921,10,9246,8857,6503,9,10772,11010,13401,13
94655,98005,NA,NA,"Npun_AF076","lanthionine synthetase C family protein",62470,103407,29811,19,35441,40366,29228,10,74318,150199,123044,34,105154,101177,93363,29,29553,33913,33445,9,41570,34368,30587,10,109068,94241,123072,32,126912,145980,102570,37,25714,28638,29560,8,40910,38133,28075,10,36689,25023,43395,10,46186,37607,53667,13
98536,98847,98456,98847,"Npun_AF077","hypothetical protein",6259,9805,20629,39,3837,28537,20066,56,7750,4443,2789,16,3373,2351,8402,15,2202,2272,5483,10,4867,3577,4275,13,5022,3715,8980,18,3893,5505,6999,17,4903,8548,17367,32,4976,3809,6725,16,11189,5197,2850,20,9408,44496,82985,146
99144,100031,NA,NA,"Npun_AF078","GCN5-related N-acetyltransferase",6049,9046,4502,7,5914,1508,2298,3,10983,7882,11073,11,5074,8041,4847,6,2456,2798,2198,2,4213,2572,3142,3,9411,7011,9271,9,10003,9668,6972,10,2200,2420,3667,3,3376,2900,2688,3,10224,7717,8554,9,5470,5176,10282,7
100210,101826,NA,NA,"Npun_AF079","secretion protein HlyD",15823,18124,17510,10,5966,9200,15224,6,15570,10663,14016,8,12936,12424,11986,7,6425,6681,8849,4,6746,5570,5544,3,11111,11579,12516,7,12971,10802,13234,7,6093,5497,7850,4,8966,6525,8773,5,23555,18011,20088,12,13031,19013,24884,11
101813,104071,NA,NA,"Npun_AF080","ABC transporter related",32482,32820,27310,13,18938,32156,23449,10,23142,25186,23096,10,23788,24083,14850,9,20492,21390,21322,9,16891,16942,17071,7,19641,19467,19334,8,21145,19662,14949,8,15131,17124,24378,8,21287,19615,22402,9,17225,18709,21103,8,28251,23843,29329,12
104329,107223,NA,NA,"Npun_AF081","ABC transporter related",38071,53045,34314,14,26545,30991,25373,9,35456,42843,39875,13,51230,45434,46948,16,23305,27649,35952,10,31479,27021,28704,10,38802,41748,41988,14,45991,45323,44240,15,24748,25851,23979,8,35931,32728,29634,11,61718,59708,64317,21,38759,37738,34478,12
107962,109422,107962,NA,"Npun_AF082","hypothetical protein",78707,143330,144349,83,40906,43781,61859,33,82760,149524,131883,83,137806,142156,123574,92,42124,42235,46105,29,67915,57310,51898,40,161017,102267,158628,96,157830,163198,132565,103,48977,51796,36008,31,54821,54343,49430,36,89900,58024,67761,49,53022,52919,69656,40
109419,110765,NA,110850,"Npun_AF083","hypothetical protein",50392,72573,106856,56,26075,27820,26923,19,47627,78598,63336,46,58744,69589,66144,48,17887,22034,21823,15,22215,20101,18929,15,47256,34809,57501,34,61307,80111,50623,47,20470,18460,18417,14,22181,20813,20271,15,27363,25439,38732,22,23530,28218,31350,20
111133,113172,111133,113172,"Npun_AF084","TPR repeat-containing protein",104446,152929,83431,55,142936,150975,128587,69,176861,170736,202985,89,151701,146063,82549,62,86231,82217,84927,41,192722,168703,159261,85,287073,354537,240059,144,438305,182890,229394,138,167696,109167,119184,64,239629,156604,148964,89,340518,301163,295292,153,254235,172437,187614,100
113338,114360,NA,NA,"Npun_AF085","transposase, IS4 family protein",115,0,0,0,0,54,364,0,76,40,15,0,87,189,0,0,79,22,55,0,54,0,48,0,0,13,98,0,314,52,47,0,0,41,0,0,106,124,2,0,249,219,173,0,115,141,212,0
114448,116865,NA,NA,"Npun_AF086","putative Chase2 sensor protein",17684,12323,17186,6,14679,13317,16393,6,16310,12069,13528,5,6828,9424,6747,3,12104,10899,12368,4,8095,9080,8372,3,8562,7476,7058,3,10665,7608,7865,3,6400,10541,1226,2,9986,7222,7329,3,22958,14778,14058,7,11301,7669,9310,3
116862,117605,NA,NA,"Npun_AF087","hypothetical protein",6361,6292,4502,7,12391,12117,11122,15,5020,4794,5871,7,5283,5742,3864,6,9980,8065,8983,12,7246,4965,5935,8,3478,4820,4844,5,2637,4446,4387,5,7214,5439,7271,8,6375,5608,6484,8,9648,6845,9932,11,8967,10430,11317,13
118615,121707,117870,121711,"Npun_AF090","TPR repeat-containing protein",86797,143063,105150,36,80014,116150,85888,30,180821,149676,149834,51,128136,125879,107019,38,55716,54033,57370,18,88578,90184,70677,26,154883,158533,174017,52,218990,166997,160799,58,67856,71780,55769,21,109406,82903,84999,29,255006,167309,167787,63,117147,143777,172820,46
121756,123201,NA,NA,"Npun_AF091","hypothetical protein",4285,12282,5650,5,6101,5590,8885,4,13687,8373,11206,7,8977,6913,12837,6,3444,4430,4787,2,6277,5355,3595,3,8538,8988,11044,6,14910,12290,10496,8,3598,3752,5809,3,6797,4500,5111,3,14594,9402,10708,8,6114,8853,6414,4
123224,129742,NA,NA,"Npun_AF092","WD-40 repeat-containing protein",53857,46514,20335,6,150579,158299,158805,23,49804,59199,54129,8,44427,44328,37494,6,83908,96772,95245,14,103179,104854,105310,16,47799,45156,44041,7,40314,40201,38171,6,48370,57605,54354,8,99265,92671,105126,15,33557,32384,42577,5,80184,72276,96113,12
