"Translation.Start","Translation.Stop","Transcription.Start","Transcription.Stop","Synonym","Product","Dawn0-1","Dawn0-2","Dawn0-3","Dawn0","Dusk0-1","Dusk0-2","Dusk0-3","Dusk0","MidDark1-1","MidDark1-2","MidDark1-3","MidDark1","Dawn1-1","Dawn1-2","Dawn1-3","Dawn1","MidLight1-1","MidLight1-2","MidLight1-3","MidLight1","Dusk1-1","Dusk1-2","Dusk1-3","Dusk1","MidDark2-1","MidDark2-2","MidDark2-3","MidDark2","Dawn2-1","Dawn2-2","Dawn2-3","Dawn2","MidLight2-1","MidLight2-2","MidLight2-3","MidLight2","Dusk2-1","Dusk2-2","Dusk2-3","Dusk2","Dark24-1","Dark24-2","Dark24-3","Dark24","Light24-1","Light24-2","Light24-3","Light24"
12759,12220,NA,NA,"Npun_ER013","hypothetical protein",3690,5065,6827,9,2639,776,2181,3,2660,3192,2420,5,3753,4719,2794,6,1664,1337,1916,3,1601,2980,1784,3,3427,2394,1625,4,3125,2572,3299,5,1465,1952,2029,3,1914,1774,2305,3,5971,3016,4672,8,1885,880,1296,2
13500,12784,NA,NA,"Npun_ER014","hypothetical protein",2479,2639,765,2,1102,771,3708,2,4488,2480,2098,4,3514,2713,3975,4,2058,2068,1681,2,2350,2410,2409,3,4744,2837,2166,4,3678,4308,5324,6,1183,2527,739,2,2169,2180,3127,3,4301,4375,4000,5,2424,2822,1976,3
13956,13513,NA,NA,"Npun_ER015","hypothetical protein",666,212,0,0,0,0,328,0,349,465,471,0,860,680,1439,2,583,397,546,1,482,492,600,1,214,637,740,1,243,565,623,1,406,792,447,1,97,98,44,0,708,1069,902,2,49,147,271,0
14489,14214,NA,NA,"Npun_ER016","hypothetical protein",4156,989,0,6,1297,3161,732,6,1769,2290,2341,7,2524,3547,4778,13,1041,1347,2225,5,1466,1944,1754,6,2385,1922,1907,7,1705,3175,2443,8,825,843,0,2,1362,1662,2230,6,2676,2298,3776,10,1271,1055,1558,4
14815,14534,NA,NA,"Npun_ER017","hypothetical protein",3097,1903,1088,7,947,4251,3734,10,5663,2472,3287,13,4948,4585,5514,17,1723,1705,2528,7,2465,3847,5448,13,6408,3710,7414,20,4862,5895,7830,21,2026,2653,3064,9,2788,1991,4283,10,8015,5239,7566,24,3607,8940,5440,21
15852,14815,NA,NA,"Npun_ER018","hypothetical protein",6840,8262,7886,7,6308,8637,10813,8,23601,11232,12852,15,12772,16511,14762,14,8313,6425,8075,7,7796,8319,16357,10,12665,14509,19672,15,14713,14659,20595,16,6602,8285,7439,7,7383,9319,10136,8,21903,17910,15418,17,8997,16034,17306,13
16826,19885,16794,20046,"Npun_EF019","helicase superfamily 3",123483,96465,111271,36,77614,107423,105876,31,121565,103914,87577,34,106182,122065,132940,39,114904,126504,125701,39,99381,113242,125608,36,104326,97283,102415,33,109644,129225,129227,40,90783,100574,135505,35,105722,107151,117079,35,112034,111074,124417,37,81313,87091,102694,29
21944,21015,21944,20890,"Npun_ER021","hypothetical protein",67332,82733,29635,64,45249,27118,34783,38,43234,64161,59355,59,79632,71068,74410,80,37047,44360,40141,43,44051,42931,35463,43,57444,71169,55856,66,79168,69208,55813,73,40536,45484,21250,38,36655,30553,35156,36,50137,63847,79869,69,123212,109409,45426,99
22842,23444,NA,NA,"Npun_EF022","phage integrase family protein",6506,4328,0,5,10830,7408,2279,11,5033,6510,6546,9,6902,6680,7729,11,7128,7715,7080,12,5670,6120,6474,10,3365,3750,3248,5,3658,4328,4598,6,3543,4282,3943,6,6709,6061,4918,9,2504,3589,5396,6,3456,3051,4092,5
23867,24094,23860,24094,"Npun_EF023","hypothetical protein",7521,10602,7092,36,10822,15971,17686,65,12227,2875,3738,27,3209,3713,6630,19,10759,10080,13177,49,6059,6318,9772,32,9263,6860,9709,37,5783,8452,14336,41,18053,25327,62357,154,6681,4520,9980,30,19107,12657,8095,58,6246,48050,43144,142
25282,24266,NA,NA,"Npun_ER024","hypothetical protein",15433,25410,13449,17,16192,24280,32732,23,25778,16168,14103,18,13146,16860,13406,14,18375,18682,20737,18,15477,13477,22231,16,20361,17742,18097,18,13949,15886,18375,15,14781,19733,29776,21,19268,17775,27885,21,28668,26563,20255,24,12640,18099,20553,16
25660,25385,NA,NA,"Npun_ER025","hypothetical protein",1090,1949,9682,15,919,4216,3044,9,2317,2186,1837,7,2108,3868,3137,11,1716,1826,2190,6,3585,2598,2717,10,4972,4181,4613,16,5215,4708,6713,20,1829,3448,3795,10,2242,2467,2733,8,8936,4594,5371,22,2430,6655,3249,14
26297,25647,NA,NA,"Npun_ER026","cobyrinic acid a,c-diamide synthase",9541,5617,0,7,6826,11012,8156,13,9910,11515,10215,16,10348,10293,12781,17,8972,8575,9458,13,9521,8621,9901,14,10406,9431,9480,15,12575,9542,12759,17,9166,7492,10827,14,8295,7809,9384,13,7965,7930,10198,13,7629,9026,7114,12
